UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,machine_id
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,2024-01-09 20:00:00,H29626
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,2024-01-10 05:00:00,H29635
267,H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,2024-01-12 02:00:00,H29680
269,H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,2024-01-12 04:00:00,H29682
271,H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,2024-01-12 06:00:00,H29684
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,2024-01-12 13:00:00,H29691
289,H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,2024-01-13 00:00:00,H29702
294,H29707,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,2024-01-13 05:00:00,H29707
299,H29712,H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,2024-01-13 10:00:00,H29712
303,H29716,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,2024-01-13 14:00:00,H29716
311,H29724,H,298.0,308.6,1526,41.8,160,0,0,0,0,0,0,2024-01-13 22:00:00,H29724
321,H29734,H,297.8,308.4,1550,38.2,185,0,0,0,0,0,0,2024-01-14 08:00:00,H29734
329,H29742,H,297.6,308.4,1703,31.4,205,0,0,0,0,0,0,2024-01-14 16:00:00,H29742
330,H29743,H,297.7,308.5,1720,29.9,210,0,0,0,0,0,0,2024-01-14 17:00:00,H29743
351,H29764,H,297.6,308.3,1400,44.3,43,0,0,0,0,0,0,2024-01-15 14:00:00,H29764
354,H29767,H,297.5,308.3,1674,30.0,54,0,0,0,0,0,0,2024-01-15 17:00:00,H29767
363,H29776,H,297.6,308.3,1640,30.9,79,0,0,0,0,0,0,2024-01-16 02:00:00,H29776
370,H29783,H,297.5,308.4,1587,36.1,98,0,0,0,0,0,0,2024-01-16 09:00:00,H29783
399,H29812,H,297.4,308.3,1502,43.6,169,0,0,0,0,0,0,2024-01-17 14:00:00,H29812
442,H29855,H,297.5,308.5,1393,46.6,56,0,0,0,0,0,0,2024-01-19 09:00:00,H29855
444,H29857,H,297.4,308.5,1469,45.1,63,0,0,0,0,0,0,2024-01-19 11:00:00,H29857
452,H29865,H,297.5,308.6,1440,46.1,84,0,0,0,0,0,0,2024-01-19 19:00:00,H29865
457,H29870,H,297.3,308.7,1478,47.6,98,0,0,0,0,0,0,2024-01-20 00:00:00,H29870
461,H29874,H,297.3,308.6,1431,42.0,109,0,0,0,0,0,0,2024-01-20 04:00:00,H29874
471,H29884,H,297.3,308.8,1499,44.2,134,0,0,0,0,0,0,2024-01-20 14:00:00,H29884
472,H29885,H,297.3,308.8,1419,42.4,139,0,0,0,0,0,0,2024-01-20 15:00:00,H29885
478,H29891,H,297.4,309.0,1468,41.4,156,0,0,0,0,0,0,2024-01-20 21:00:00,H29891
496,H29909,H,297.5,309.3,1459,49.7,201,0,0,0,0,0,0,2024-01-21 15:00:00,H29909
508,H29921,H,297.8,309.4,1445,48.2,10,0,0,0,0,0,0,2024-01-22 03:00:00,H29921
536,H29949,H,297.4,309.3,1365,52.4,76,0,0,0,0,0,0,2024-01-23 07:00:00,H29949
538,H29951,H,297.4,309.3,1516,43.0,83,0,0,0,0,0,0,2024-01-23 09:00:00,H29951
544,H29957,H,297.5,309.3,1563,36.1,100,0,0,0,0,0,0,2024-01-23 15:00:00,H29957
555,H29968,H,297.5,309.4,1368,45.3,129,0,0,0,0,0,0,2024-01-24 02:00:00,H29968
565,H29978,H,297.6,309.6,1669,32.1,155,0,0,0,0,0,0,2024-01-24 12:00:00,H29978
566,H29979,H,297.7,309.7,1570,35.8,160,0,0,0,0,0,0,2024-01-24 13:00:00,H29979
577,H29990,H,297.7,309.7,1440,51.1,191,0,0,0,0,0,0,2024-01-25 00:00:00,H29990
584,H29997,H,297.7,309.6,1697,32.2,210,0,0,0,0,0,0,2024-01-25 07:00:00,H29997
585,H29998,H,297.6,309.6,1419,48.2,215,0,0,0,0,0,0,2024-01-25 08:00:00,H29998
588,H30001,H,297.6,309.5,1623,33.1,224,0,0,0,0,0,0,2024-01-25 11:00:00,H30001
592,H30005,H,297.5,309.3,1525,41.7,235,0,0,0,0,0,0,2024-01-25 15:00:00,H30005
593,H30006,H,297.5,309.5,1668,27.9,240,0,0,0,0,0,0,2024-01-25 16:00:00,H30006
595,H30008,H,297.6,309.6,1278,50.4,2,0,0,0,0,0,0,2024-01-25 18:00:00,H30008
598,H30011,H,297.6,309.6,1428,46.6,13,0,0,0,0,0,0,2024-01-25 21:00:00,H30011
600,H30013,H,297.7,309.7,1616,31.1,20,0,0,0,0,0,0,2024-01-25 23:00:00,H30013
617,H30030,H,298.1,309.9,1686,29.1,60,0,0,0,0,0,0,2024-01-26 16:00:00,H30030
619,H30032,H,298.2,310.0,1433,44.2,68,0,0,0,0,0,0,2024-01-26 18:00:00,H30032
625,H30038,H,298.3,310.1,1509,37.6,85,0,0,0,0,0,0,2024-01-27 00:00:00,H30038
633,H30046,H,298.3,310.0,1419,47.1,105,0,0,0,0,0,0,2024-01-27 08:00:00,H30046
645,H30058,H,297.7,309.4,1608,30.2,135,0,0,0,0,0,0,2024-01-27 20:00:00,H30058
649,H30062,H,297.7,309.3,1400,48.9,147,0,0,0,0,0,0,2024-01-28 00:00:00,H30062
670,H30083,H,297.5,308.9,1471,37.7,197,0,0,0,0,0,0,2024-01-28 21:00:00,H30083
677,H30090,H,297.9,309.2,1577,34.7,5,0,0,0,0,0,0,2024-01-29 04:00:00,H30090
683,H30096,H,297.8,309.0,1410,48.8,23,0,0,0,0,0,0,2024-01-29 10:00:00,H30096
689,H30102,H,297.6,309.0,1735,26.4,41,0,0,0,0,0,0,2024-01-29 16:00:00,H30102
690,H30103,H,297.6,309.0,1354,55.6,46,0,0,0,0,0,0,2024-01-29 17:00:00,H30103
691,H30104,H,297.6,309.0,1413,40.2,51,0,0,0,0,0,0,2024-01-29 18:00:00,H30104
700,H30113,H,297.5,308.7,1416,39.2,74,0,0,0,0,0,0,2024-01-30 03:00:00,H30113
704,H30117,H,297.7,308.9,1479,40.9,87,0,0,0,0,0,0,2024-01-30 07:00:00,H30117
717,H30130,H,297.4,308.6,1420,45.8,120,0,0,0,0,0,0,2024-01-30 20:00:00,H30130
728,H30141,H,297.3,308.6,1499,37.6,147,0,0,0,0,0,0,2024-01-31 07:00:00,H30141
735,H30148,H,297.0,308.4,1305,54.6,168,0,0,0,0,0,0,2024-01-31 14:00:00,H30148
738,H30151,H,296.9,308.3,1474,39.2,177,0,0,0,0,0,0,2024-01-31 17:00:00,H30151
749,H30162,H,296.7,308.1,1528,46.3,203,0,0,0,0,0,0,2024-02-01 04:00:00,H30162
756,H30169,H,296.8,308.1,1492,43.7,222,0,0,0,0,0,0,2024-02-01 11:00:00,H30169
772,H30185,H,296.8,308.0,1311,58.6,19,0,0,0,0,0,0,2024-02-02 03:00:00,H30185
773,H30186,H,296.8,308.0,1453,51.0,24,0,0,0,0,0,0,2024-02-02 04:00:00,H30186
784,H30197,H,296.7,307.9,1579,33.4,50,0,0,0,0,0,0,2024-02-02 15:00:00,H30197
795,H30208,H,296.9,307.9,1547,32.6,79,0,0,0,0,0,0,2024-02-03 02:00:00,H30208
804,H30217,H,296.9,307.8,1549,37.8,104,0,0,0,0,0,0,2024-02-03 11:00:00,H30217
835,H30248,H,296.6,307.4,1333,50.2,177,0,0,0,0,0,0,2024-02-04 18:00:00,H30248
839,H30252,H,296.6,307.4,1406,41.5,189,0,0,0,0,0,0,2024-02-04 22:00:00,H30252
850,H30263,H,296.4,307.4,1586,35.5,0,0,0,0,0,0,0,2024-02-05 09:00:00,H30263
860,H30273,H,296.2,307.0,1542,40.6,28,0,0,0,0,0,0,2024-02-05 19:00:00,H30273
861,H30274,H,296.1,306.9,1541,32.6,33,0,0,0,0,0,0,2024-02-05 20:00:00,H30274
863,H30276,H,296.1,306.8,1645,31.0,41,0,0,0,0,0,0,2024-02-05 22:00:00,H30276
868,H30281,H,295.9,306.5,1594,33.2,55,0,0,0,0,0,0,2024-02-06 03:00:00,H30281
888,H30301,H,295.7,306.2,2161,16.5,105,0,0,0,0,0,0,2024-02-06 23:00:00,H30301
900,H30313,H,295.6,306.2,1329,55.3,135,0,0,0,0,0,0,2024-02-07 11:00:00,H30313
902,H30315,H,295.6,306.1,1256,62.3,142,0,0,0,0,0,0,2024-02-07 13:00:00,H30315
905,H30318,H,295.7,306.2,1458,49.8,151,0,0,0,0,0,0,2024-02-07 16:00:00,H30318
922,H30335,H,295.5,305.9,1593,37.2,197,0,0,0,0,0,0,2024-02-08 09:00:00,H30335
926,H30339,H,295.6,306.1,1623,30.9,210,0,0,0,0,0,0,2024-02-08 13:00:00,H30339
928,H30341,H,295.6,306.0,1396,52.4,0,0,0,0,0,0,0,2024-02-08 15:00:00,H30341
952,H30365,H,295.6,306.3,1509,35.8,60,0,0,0,0,0,0,2024-02-09 15:00:00,H30365
955,H30368,H,295.6,306.2,1414,42.5,69,0,0,0,0,0,0,2024-02-09 18:00:00,H30368
957,H30370,H,295.6,306.2,1632,32.2,76,0,0,0,0,0,0,2024-02-09 20:00:00,H30370
987,H30400,H,296.4,307.1,1638,32.5,146,0,0,0,0,0,0,2024-02-11 02:00:00,H30400
989,H30402,H,296.3,307.1,1774,25.9,154,0,0,0,0,0,0,2024-02-11 04:00:00,H30402
1005,H30418,H,296.3,307.2,1424,42.0,196,0,0,0,0,0,0,2024-02-11 20:00:00,H30418
1034,H30447,H,296.4,307.5,1556,38.0,62,0,0,0,0,0,0,2024-02-13 01:00:00,H30447
1038,H30451,H,296.4,307.5,1596,35.1,75,0,0,0,0,0,0,2024-02-13 05:00:00,H30451
1046,H30459,H,296.4,307.5,1403,52.8,94,0,0,0,0,0,0,2024-02-13 13:00:00,H30459
1055,H30468,H,296.8,307.8,1627,30.5,117,0,0,0,0,0,0,2024-02-13 22:00:00,H30468
1061,H30474,H,296.7,307.9,1424,53.8,133,0,0,0,0,0,0,2024-02-14 04:00:00,H30474
1076,H30489,H,296.9,307.8,1345,54.5,172,0,0,0,0,0,0,2024-02-14 19:00:00,H30489
1079,H30492,H,296.9,307.7,1656,30.8,181,0,0,0,0,0,0,2024-02-14 22:00:00,H30492
1083,H30496,H,297.1,307.9,1420,39.8,192,0,0,0,0,0,0,2024-02-15 02:00:00,H30496
1088,H30501,H,296.9,307.8,1549,35.8,206,1,1,0,0,0,0,2024-02-15 07:00:00,H30501
1098,H30511,H,296.9,307.5,1397,48.3,22,0,0,0,0,0,0,2024-02-15 17:00:00,H30511
1101,H30514,H,296.8,307.5,1695,30.0,33,0,0,0,0,0,0,2024-02-15 20:00:00,H30514
1102,H30515,H,296.7,307.5,1607,33.6,38,0,0,0,0,0,0,2024-02-15 21:00:00,H30515
1112,H30525,H,296.5,307.4,1432,49.2,64,0,0,0,0,0,0,2024-02-16 07:00:00,H30525
1115,H30528,H,296.4,307.3,1540,37.4,75,0,0,0,0,0,0,2024-02-16 10:00:00,H30528
1121,H30534,H,296.6,307.7,1654,31.0,91,0,0,0,0,0,0,2024-02-16 16:00:00,H30534
1124,H30537,H,296.6,307.7,1386,62.3,100,1,0,0,1,0,0,2024-02-16 19:00:00,H30537
1154,H30567,H,297.0,307.9,1448,45.6,172,0,0,0,0,0,0,2024-02-18 01:00:00,H30567
1156,H30569,H,297.0,307.9,1846,27.3,179,0,0,0,0,0,0,2024-02-18 03:00:00,H30569
1157,H30570,H,297.0,307.8,1404,40.7,184,0,0,0,0,0,0,2024-02-18 04:00:00,H30570
1161,H30574,H,297.0,307.7,1834,23.8,195,0,0,0,0,0,0,2024-02-18 08:00:00,H30574
1172,H30585,H,297.0,308.1,1517,41.4,222,0,0,0,0,0,0,2024-02-18 19:00:00,H30585
1174,H30587,H,297.1,308.0,1559,38.8,229,0,0,0,0,0,0,2024-02-18 21:00:00,H30587
1181,H30594,H,297.3,308.4,1531,35.6,16,0,0,0,0,0,0,2024-02-19 04:00:00,H30594
1199,H30612,H,296.9,307.9,1557,36.5,63,0,0,0,0,0,0,2024-02-19 22:00:00,H30612
1204,H30617,H,297.0,308.1,1410,47.6,79,0,0,0,0,0,0,2024-02-20 03:00:00,H30617
1207,H30620,H,296.9,308.0,1318,53.5,88,0,0,0,0,0,0,2024-02-20 06:00:00,H30620
1210,H30623,H,297.0,308.1,2540,13.3,98,0,0,0,0,0,0,2024-02-20 09:00:00,H30623
1212,H30625,H,296.9,308.0,1416,46.9,105,0,0,0,0,0,0,2024-02-20 11:00:00,H30625
1226,H30639,H,297.1,308.3,1492,41.5,141,0,0,0,0,0,0,2024-02-21 01:00:00,H30639
1235,H30648,H,297.2,308.5,2440,14.0,166,0,0,0,0,0,0,2024-02-21 10:00:00,H30648
1236,H30649,H,297.1,308.4,1654,31.4,171,0,0,0,0,0,0,2024-02-21 11:00:00,H30649
1237,H30650,H,297.1,308.4,1359,46.6,176,0,0,0,0,0,0,2024-02-21 12:00:00,H30650
1240,H30653,H,297.2,308.5,1482,39.3,187,0,0,0,0,0,0,2024-02-21 15:00:00,H30653
1247,H30660,H,297.2,308.5,1653,33.3,207,0,0,0,0,0,0,2024-02-21 22:00:00,H30660
1255,H30668,H,297.5,308.8,1430,49.4,2,0,0,0,0,0,0,2024-02-22 06:00:00,H30668
1256,H30669,H,297.5,308.9,1419,50.7,7,0,0,0,0,0,0,2024-02-22 07:00:00,H30669
1262,H30675,H,297.6,309.0,1885,25.2,24,0,0,0,0,0,0,2024-02-22 13:00:00,H30675
1263,H30676,H,297.8,309.2,1648,33.0,29,0,0,0,0,0,0,2024-02-22 14:00:00,H30676
1272,H30685,H,298.0,309.4,1490,40.5,53,0,0,0,0,0,0,2024-02-22 23:00:00,H30685
1273,H30686,H,298.0,309.4,1562,38.1,58,0,0,0,0,0,0,2024-02-23 00:00:00,H30686
1275,H30688,H,298.1,309.5,1530,40.2,65,0,0,0,0,0,0,2024-02-23 02:00:00,H30688
1281,H30694,H,298.3,309.5,1521,37.1,84,0,0,0,0,0,0,2024-02-23 08:00:00,H30694
1282,H30695,H,298.3,309.5,1427,54.3,89,0,0,0,0,0,0,2024-02-23 09:00:00,H30695
1294,H30707,H,298.7,309.8,1582,33.4,121,0,0,0,0,0,0,2024-02-23 21:00:00,H30707
1323,H30736,H,298.9,310.1,1452,49.9,187,0,0,0,0,0,0,2024-02-25 02:00:00,H30736
1326,H30739,H,298.8,310.1,1567,36.8,197,0,0,0,0,0,0,2024-02-25 05:00:00,H30739
1330,H30743,H,298.8,310.2,1663,30.4,209,0,0,0,0,0,0,2024-02-25 09:00:00,H30743
1332,H30745,H,298.9,310.2,1771,26.8,216,0,0,0,0,0,0,2024-02-25 11:00:00,H30745
1338,H30751,H,298.7,310.2,1613,36.0,0,0,0,0,0,0,0,2024-02-25 17:00:00,H30751
1361,H30774,H,298.8,310.2,1707,27.6,56,0,0,0,0,0,0,2024-02-26 16:00:00,H30774
1369,H30782,H,298.8,310.3,1708,27.1,78,0,0,0,0,0,0,2024-02-27 00:00:00,H30782
1379,H30792,H,298.8,310.2,1455,44.9,107,0,0,0,0,0,0,2024-02-27 10:00:00,H30792
1389,H30802,H,298.9,310.1,1491,45.3,133,0,0,0,0,0,0,2024-02-27 20:00:00,H30802
1401,H30814,H,298.9,310.1,1366,62.7,161,0,0,0,0,0,0,2024-02-28 08:00:00,H30814
1402,H30815,H,298.9,310.2,1532,37.7,166,0,0,0,0,0,0,2024-02-28 09:00:00,H30815
1436,H30849,H,298.8,309.9,1526,42.1,30,0,0,0,0,0,0,2024-02-29 19:00:00,H30849
1437,H30850,H,298.8,309.8,1510,44.2,35,0,0,0,0,0,0,2024-02-29 20:00:00,H30850
1438,H30851,H,298.8,309.9,1439,45.2,40,1,0,0,0,0,0,2024-02-29 21:00:00,H30851
1450,H30863,H,299.0,310.4,1677,30.8,73,0,0,0,0,0,0,2024-03-01 09:00:00,H30863
1496,H30909,H,297.9,308.5,1383,44.6,184,0,0,0,0,0,0,2024-03-03 07:00:00,H30909
1513,H30926,H,298.0,308.7,1503,36.3,5,0,0,0,0,0,0,2024-03-04 00:00:00,H30926
1519,H30932,H,298.2,309.0,1371,55.7,23,0,0,0,0,0,0,2024-03-04 06:00:00,H30932
1523,H30936,H,298.2,309.0,1562,37.7,36,0,0,0,0,0,0,2024-03-04 10:00:00,H30936
1528,H30941,H,298.1,309.1,1425,44.5,49,0,0,0,0,0,0,2024-03-04 15:00:00,H30941
1532,H30945,H,298.1,309.0,1438,41.4,60,0,0,0,0,0,0,2024-03-04 19:00:00,H30945
1557,H30970,H,298.4,308.5,1398,47.1,122,0,0,0,0,0,0,2024-03-05 20:00:00,H30970
1583,H30996,H,298.1,308.3,1530,42.0,184,0,0,0,0,0,0,2024-03-06 22:00:00,H30996
1603,H31016,H,297.8,307.9,1600,33.5,13,0,0,0,0,0,0,2024-03-07 18:00:00,H31016
1617,H31030,H,297.8,307.8,1662,30.7,48,0,0,0,0,0,0,2024-03-08 08:00:00,H31030
1623,H31036,H,297.7,307.6,1538,38.3,63,0,0,0,0,0,0,2024-03-08 14:00:00,H31036
1635,H31048,H,297.9,307.9,1406,58.5,93,0,0,0,0,0,0,2024-03-09 02:00:00,H31048
1643,H31056,H,298.0,307.8,1588,35.4,114,0,0,0,0,0,0,2024-03-09 10:00:00,H31056
1650,H31063,H,298.0,307.9,1482,37.8,132,0,0,0,0,0,0,2024-03-09 17:00:00,H31063
1653,H31066,H,297.9,307.8,1635,34.0,142,0,0,0,0,0,0,2024-03-09 20:00:00,H31066
1659,H31072,H,298.1,308.0,1570,35.3,159,0,0,0,0,0,0,2024-03-10 02:00:00,H31072
1663,H31076,H,298.2,307.9,1462,45.5,171,0,0,0,0,0,0,2024-03-10 06:00:00,H31076
1666,H31079,H,298.2,307.9,1491,39.7,181,0,0,0,0,0,0,2024-03-10 09:00:00,H31079
1677,H31090,H,297.9,307.6,1418,43.0,207,0,0,0,0,0,0,2024-03-10 20:00:00,H31090
1683,H31096,H,297.9,307.4,1604,36.1,225,1,1,0,0,0,0,2024-03-11 02:00:00,H31096
1687,H31100,H,297.9,307.3,1663,28.7,7,0,0,0,0,0,0,2024-03-11 06:00:00,H31100
1694,H31107,H,298.0,307.5,1683,27.8,26,0,0,0,0,0,0,2024-03-11 13:00:00,H31107
1733,H31146,H,298.4,307.9,1700,28.2,120,0,0,0,0,0,0,2024-03-13 04:00:00,H31146
1739,H31152,H,298.4,307.9,1948,21.4,136,0,0,0,0,0,0,2024-03-13 10:00:00,H31152
1740,H31153,H,298.5,307.9,1260,54.2,141,0,0,0,0,0,0,2024-03-13 11:00:00,H31153
1749,H31162,H,298.4,307.7,1626,31.1,166,0,0,0,0,0,1,2024-03-13 20:00:00,H31162
1760,H31173,H,298.0,307.4,1606,35.2,195,0,0,0,0,0,0,2024-03-14 07:00:00,H31173
1763,H31176,H,298.2,307.6,1460,48.6,204,0,0,0,0,0,0,2024-03-14 10:00:00,H31176
1765,H31178,H,298.2,307.6,1318,55.7,0,0,0,0,0,0,0,2024-03-14 12:00:00,H31178
1771,H31184,H,298.4,307.9,1605,31.0,18,0,0,0,0,0,0,2024-03-14 18:00:00,H31184
1778,H31191,H,298.6,308.2,1555,36.8,36,0,0,0,0,0,0,2024-03-15 01:00:00,H31191
1784,H31197,H,298.3,308.0,1553,41.0,52,0,0,0,0,0,0,2024-03-15 07:00:00,H31197
1797,H31210,H,298.1,307.6,1542,37.1,84,0,0,0,0,0,0,2024-03-15 20:00:00,H31210
1803,H31216,H,298.1,307.6,1496,44.1,104,0,0,0,0,0,0,2024-03-16 02:00:00,H31216
1806,H31219,H,298.1,307.7,1376,56.2,113,0,0,0,0,0,0,2024-03-16 05:00:00,H31219
1807,H31220,H,298.0,307.6,1593,32.2,118,0,0,0,0,0,0,2024-03-16 06:00:00,H31220
1827,H31240,H,297.8,307.3,1516,40.1,166,0,0,0,0,0,0,2024-03-17 02:00:00,H31240
1836,H31249,H,297.8,307.3,1555,35.8,190,0,0,0,0,0,0,2024-03-17 11:00:00,H31249
1843,H31256,H,297.7,307.1,1855,22.5,7,0,0,0,0,0,0,2024-03-17 18:00:00,H31256
1847,H31260,H,297.7,307.3,1514,38.6,19,0,0,0,0,0,0,2024-03-17 22:00:00,H31260
1849,H31262,H,297.7,307.2,1429,44.1,26,0,0,0,0,0,0,2024-03-18 00:00:00,H31262
1856,H31269,H,297.7,307.3,1249,62.8,47,0,0,0,0,0,0,2024-03-18 07:00:00,H31269
1890,H31303,H,297.7,307.4,1432,40.2,132,0,0,0,0,0,0,2024-03-19 17:00:00,H31303
1895,H31308,H,297.9,307.5,1880,23.3,146,0,0,0,0,0,0,2024-03-19 22:00:00,H31308
1901,H31314,H,297.9,307.6,1493,36.0,161,0,0,0,0,0,0,2024-03-20 04:00:00,H31314
1911,H31324,H,298.0,307.7,1547,36.8,186,0,0,0,0,0,0,2024-03-20 14:00:00,H31324
1928,H31341,H,298.0,307.8,1314,47.8,19,0,0,0,0,0,0,2024-03-21 07:00:00,H31341
1958,H31371,H,297.9,307.7,1618,35.9,92,0,0,0,0,0,0,2024-03-22 13:00:00,H31371
1959,H31372,H,297.9,307.7,1464,43.2,97,0,0,0,0,0,0,2024-03-22 14:00:00,H31372
1970,H31383,H,297.8,307.5,1631,31.3,124,0,0,0,0,0,0,2024-03-23 01:00:00,H31383
1980,H31393,H,298.0,307.6,1420,45.8,150,0,0,0,0,0,0,2024-03-23 11:00:00,H31393
1989,H31402,H,298.3,307.9,1420,39.2,176,0,0,0,0,0,0,2024-03-23 20:00:00,H31402
1999,H31412,H,298.3,308.0,1637,30.8,2,0,0,0,0,0,0,2024-03-24 06:00:00,H31412
2021,H31434,H,298.7,308.4,1560,33.3,53,0,0,0,0,0,0,2024-03-25 04:00:00,H31434
2034,H31447,H,298.8,308.5,1359,47.6,85,0,0,0,0,0,0,2024-03-25 17:00:00,H31447
2038,H31451,H,299.0,308.7,1940,19.9,98,0,0,0,0,0,0,2024-03-25 21:00:00,H31451
2060,H31473,H,299.5,309.4,1386,44.4,154,0,0,0,0,0,0,2024-03-26 19:00:00,H31473
2070,H31483,H,299.7,309.6,1553,41.0,179,0,0,0,0,0,0,2024-03-27 05:00:00,H31483
2083,H31496,H,299.4,309.2,1513,36.1,212,0,0,0,0,0,0,2024-03-27 18:00:00,H31496
2084,H31497,H,299.4,309.3,1743,28.2,0,0,0,0,0,0,0,2024-03-27 19:00:00,H31497
2087,H31500,H,299.4,309.3,1439,49.7,9,0,0,0,0,0,0,2024-03-27 22:00:00,H31500
2109,H31522,H,299.4,309.0,1415,51.7,62,0,0,0,0,0,0,2024-03-28 20:00:00,H31522
2111,H31524,H,299.3,309.0,1508,35.0,70,0,0,0,0,0,0,2024-03-28 22:00:00,H31524
2115,H31528,H,299.4,309.1,1373,44.1,81,0,0,0,0,0,0,2024-03-29 02:00:00,H31528
2118,H31531,H,299.4,308.9,1762,29.3,91,0,0,0,0,0,0,2024-03-29 05:00:00,H31531
2119,H31532,H,299.3,308.9,1429,43.0,96,0,0,0,0,0,0,2024-03-29 06:00:00,H31532
2121,H31534,H,299.2,308.8,1908,21.3,104,0,0,0,0,0,0,2024-03-29 08:00:00,H31534
2128,H31541,H,299.3,309.0,1425,40.6,123,0,0,0,0,0,0,2024-03-29 15:00:00,H31541
2130,H31543,H,299.4,309.0,1607,33.7,130,0,0,0,0,0,0,2024-03-29 17:00:00,H31543
2134,H31547,H,299.3,309.0,1732,29.7,141,0,0,0,0,0,0,2024-03-29 21:00:00,H31547
2151,H31564,H,299.3,308.8,1636,35.5,180,0,0,0,0,0,0,2024-03-30 14:00:00,H31564
2154,H31567,H,299.3,308.8,1397,45.4,191,0,0,0,0,0,0,2024-03-30 17:00:00,H31567
2168,H31581,H,299.6,309.1,1588,41.3,0,0,0,0,0,0,0,2024-03-31 07:00:00,H31581
2181,H31594,H,299.6,309.2,1597,36.3,35,0,0,0,0,0,0,2024-03-31 20:00:00,H31594
2182,H31595,H,299.5,309.1,1548,44.3,40,0,0,0,0,0,0,2024-03-31 21:00:00,H31595
2190,H31603,H,299.7,309.2,1554,41.6,62,0,0,0,0,0,0,2024-04-01 05:00:00,H31603
2209,H31622,H,299.8,309.2,1435,42.6,111,0,0,0,0,0,0,2024-04-02 00:00:00,H31622
2215,H31628,H,299.7,309.2,1355,44.8,127,0,0,0,0,0,0,2024-04-02 06:00:00,H31628
2216,H31629,H,299.7,309.2,1468,49.6,132,0,0,0,0,0,0,2024-04-02 07:00:00,H31629
